ISBN13;Titel;Språk;Pris;Utgivningsdatum;FörfattareID;FormID;AntalSidor;Genre
9780743289467;The Collected Stories;Engelska;186;May 9th 2006;10;2;409;'[''Italian Literature'', ''Fiction'', ''Short Stories'', ''Italy'', ''Literature'', ''Contemporary'', ''Novels'', ''20th Century'', ''Noir'', ''Roman'']'
9780141306421;The Secret Life of Amanda K. Woods;Engelska;100;September 13th 1999;11;1;208;'[''Chick Lit'', ''Fiction'', ''Romance'', ''Fantasy'', ''Contemporary'', ''Mystery'', ''Adult'', ''Magical Realism'', ''Ireland'', ''Adult Fiction'']'
9780440420521;Colibri;Engelska;112;September 13th 2005;11;1;256;'[''Fantasy'', ''Urban Fantasy'', ''Fiction'', ''Vampires'', ''Magic'', ''Paranormal'', ''Books About Books'', ''Science Fiction'', ''Science Fiction Fantasy'', ''Adult'']'
9780615540023;What Would Satan Do?;Engelska;2319;September 20th 2011;12;4;398;'[''Cycling'', ''Nonfiction'', ''Biography'', ''Sports'', ''Autobiography'', ''Memoir'', ''Biography Memoir'', ''Bicycles'', ''France'']'
9780140191912;The Act of Creation;Engelska;602;December 7th 1990;13;1;752;'[''Classics'', ''Fiction'', ''France'', ''Literature'', ''French Literature'', ''Humor'', ''Fantasy'', ''16th Century'', ''Novels'', ''Philosophy'']'
9780992207601;Capital D: Adult;Engelska;735;September 16th 2014;14;4;4892;'[''Memoir'', ''Nonfiction'', ''Biography'', ''Humor'', ''Biography Memoir'', ''Martial Arts'', ''Adult'', ''Coming Of Age'', ''China'', ''College'']'
9780340824047;Painted Highway;Engelska;97;September 15th 2003;15;1;448;'[''History'', ''Politics'', ''Nonfiction'', ''War'', ''Military Fiction'', ''Philosophy'', ''Economics'', ''American History'', ''Military History'', ''Classics'']'
9780340824061;Distant Images;Engelska;103;April 25th 2005;15;1;480;'[''Fiction'', ''Books About Books'', ''Literary Fiction'', ''Lebanon'', ''Contemporary'', ''Historical Fiction'', ''Novels'', ''Literature'', ''Womens'', ''Book Club'']'
9780340824085;As the Night Ends;Engelska;103;September 12th 2005;15;1;480;'[''Fiction'', ''Magical Realism'', ''Historical Fiction'', ''Fantasy'', ''Mystery'', ''Historical'', ''Family'', ''Southern'', ''Paranormal'', ''Adult Fiction'']'
9780205924769;Cultural Anthropology in a Globalizing World [with MyAnthroLab & eText Access Code];Engelska;706;June 17th 2012;16;1;360;'[''Time Travel'', ''Historical Fiction'', ''Young Adult'', ''Fantasy'', ''Romance'', ''Christian Fiction'', ''Historical'', ''Christian'', ''Fiction'', ''Adventure'']'
9781557045072;'Moulin Rouge!: The Splendid Book That Charts the Journey of Baz Luhrmann''s Motion Picture';Engelska;235;May 30th 2001;17;2;170;'[''Spirituality'', ''Prayer'', ''Religion'', ''Nonfiction'', ''Christianity'', ''Christian'', ''Faith'', ''Theology'', ''Psychology'', ''Church'']'
9780099246428;The Big Wind: A Novel Of Ireland;Engelska;120;May 1st 1997;18;1;752;'[''Nonfiction'', ''History'', ''Russia'', ''Science'', ''Nobel Prize'', ''Historical'', ''Ukraine'', ''Journalism'', ''Memoir'', ''Politics'']'
9780486408910;'Wit and Wisdom from Poor Richard''s Almanack';Engelska;146;May 14th 1999;19;1;64;'[''Mystery'', ''Thriller'', ''Crime'', ''Suspense'', ''Fiction'', ''Mystery Thriller'', ''Romance'', ''Detective'', ''Adult'', ''Romantic Suspense'']'
9780918222886;The Way to Wealth;Engelska;284;September 1st 1986;19;2;30;'[''Fantasy'', ''Childrens'']'
9781607065104;King City;Engelska;209;March 7th 2012;20;1;424;'[''Nonfiction'', ''Essays'', ''India'', ''Literature'', ''Politics'', ''Literary Criticism'', ''Criticism'', ''20th Century'', ''Indian Literature'', ''British Literature'']'
9780385738293;The Iron Thorn;Engelska;110;February 22nd 2011;21;3;492;'[''Chick Lit'', ''Fiction'', ''Adult Fiction'', ''Contemporary'', ''Romance'', ''Adult'', ''Audiobook'', ''Womens Fiction'', ''Humor'', ''Book Club'']'
9780140233131;The Stone Diaries;Engelska;226;April 1st 1995;22;1;361;'[''Horror'', ''Short Stories'', ''Fiction'', ''Thriller'', ''Mystery'', ''Suspense'', ''Audiobook'', ''Anthologies'', ''Fantasy'', ''Crime'']'
9780679309512;'Larry''s Party';Engelska;109;September 29th 1998;22;1;352;'[''Fantasy'', ''Fiction'', ''Science Fiction'', ''Audiobook'', ''Contemporary'', ''Urban Fantasy'', ''Magical Realism'', ''Paranormal'', ''Unfinished'', ''Adult Fiction'']'
9780970069603;Solar Arc Directions;Engelska;465;April 16th 2015;23;4;129;'[''Manga'', ''Fantasy'', ''Comics'', ''Graphic Novels'', ''Romance'', ''Fiction'', ''Shojo'', ''Young Adult'', ''Comics Manga'', ''Graphic Novels Manga'']'
9780842338868;A Whisper of Danger;Engelska;109;October 1st 2000;24;1;342;'[''Fiction'', ''Canada'', ''Canadian Literature'', ''Family'', ''Gothic'', ''Novels'', ''Classics'', ''Literary Fiction'', ''Coming Of Age'', ''Adult Fiction'']'
9780842357753;The Treasure of Timbuktu;Engelska;133;April 4th 1997;24;1;271;'[''Fantasy'', ''Comics'', ''Graphic Novels'', ''Manga'', ''Young Adult'', ''Fiction'', ''Comic Book'', ''Adventure'', ''Graphic Novels Comics'', ''Comics Manga'']'
9780140436310;The Descent of Man;Engelska;184;February 26th 2004;25;1;796;'[''Time Travel'', ''Romance'', ''Fantasy'', ''Fiction'', ''Science Fiction'', ''Historical Fiction'', ''Historical'', ''Classics'', ''Historical Romance'', ''Adult'']'
9780785819110;The Origin of Species;Engelska;195;05/01/04;25;2;703;'[''Star Wars'', ''Science Fiction'', ''Fiction'', ''Fantasy'', ''Audiobook'', ''Adventure'', ''Adult'', ''Science Fiction Fantasy'', ''Space Opera'', ''Young Adult'']'
9781894937894;Louis Riel: A Comic-Strip Biography;Engelska;236;August 22nd 2006;26;1;272;'[''Picture Books'', ''Childrens'', ''Fairy Tales'', ''Fantasy'', ''Classics'', ''Fiction'', ''Folklore'', ''Folk Tales'', ''Art'', ''Kids'']'
9781442422773;Mia in the Mix;Engelska;72;May 3rd 2011;27;1;160;'[''Mystery'', ''Fiction'', ''Chick Lit'', ''Humor'', ''Espionage'', ''Action'', ''Romance'', ''Thriller'', ''Suspense'', ''Adult Fiction'']'
9781442446137;'Mia''s Baker''s Dozen';Engelska;227;February 7th 2012;27;1;160;'[''Horror'', ''Short Stories'', ''Fiction'', ''Classics'', ''Gothic'', ''Ghost Stories'', ''Ghosts'', ''Fantasy'', ''Paranormal'', ''Supernatural'']'
9781442453739;Katie and the Cupcake War;Engelska;231;August 21st 2012;27;1;160;'[''Young Adult'', ''Fiction'', ''Teen'', ''Childrens'']'
9781442453968;'Mia''s Boiling Point';Engelska;125;October 16th 2012;27;1;160;'[''Fiction'', ''Magical Realism'', ''Fantasy'', ''Romance'', ''Contemporary'', ''Adult Fiction'', ''Adult'', ''Audiobook'', ''Chick Lit'', ''Fairy Tales'']'
9780553804669;The Face of Death;Engelska;111;May 29th 2007;29;2;452;'[''Young Adult'', ''Mystery'', ''Contemporary'', ''Mystery Thriller'', ''Thriller'', ''Fiction'', ''Realistic Fiction'', ''Audiobook'', ''Teen'', ''Family'']'
9780553806946;The Darker Side;Engelska;182;September 30th 2008;29;2;464;'[''Counselling'', ''Family'', ''Parenting'', ''Marriage'', ''Christian Living'', ''Relationships'', ''Theology'', ''Textbooks'', ''Christian'']'
9780987735720;'Can''t Buy Me Love';Engelska;588;September 13th 2012;30;4;331;'[''Nonfiction'', ''Memoir'', ''Humor'', ''Audiobook'', ''Biography'', ''Comedy'', ''Autobiography'', ''Biography Memoir'', ''Adult'', ''Psychology'']'
9781908147592;Sex Lessons;Engelska;109;June 16th 2014;31;4;338;'[''Star Wars'', ''Science Fiction'', ''Young Adult'', ''Fiction'', ''Fantasy'', ''Teen'', ''Adventure'', ''Science Fiction Fantasy'', ''Magic'', ''Juvenile'']'
9780385533850;Robopocalypse;Engelska;116;June 7th 2011;32;3;347;'[''Mystery'', ''Fiction'', ''Crime'', ''Noir'', ''Hard Boiled'', ''Detective'', ''Thriller'', ''Mystery Thriller'', ''Novels'', ''American'']'
9780752852614;Red Harvest;Engelska;239;May 1st 2003;33;4;224;'[''Nonfiction'', ''Food'', ''Travel'']'
9780563487807;'David Attenborough''s Life on Air: Memoirs of a Broadcaster';Engelska;97;September 4th 2003;34;1;384;'[''Nonfiction'', ''History'', ''Australia'', ''Historical'', ''Science'', ''Anthropology'', ''Audiobook'', ''Environment'', ''Politics'', ''Book Club'']'
9780691006390;The Private Life of Plants: A Natural History of Plant Behaviour;Engelska;193;September 10th 1995;34;2;320;'[''Historical Fiction'', ''Fiction'', ''Turkish Literature'', ''War'', ''Turkish'', ''Roman'', ''Novels'', ''Historical'', ''Literary Fiction'', ''Audiobook'']'
9780230706156;'Hell''s Corner';Engelska;121;November 9th 2010;35;2;448;'[''Fiction'', ''Magical Realism'', ''France'', ''Contemporary'', ''Romance'', ''Fantasy'', ''Novels'', ''Chick Lit'', ''Food'', ''Literary Fiction'']'
9780446195508;Divine Justice;Engelska;111;November 4th 2008;35;2;326;'[''Graphic Novels'', ''Comics'', ''Nonfiction'', ''Memoir'', ''History'', ''Biography'', ''Bande Dessinée'', ''Graphic Novels Comics'', ''Iran'', ''France'']'
9780446195973;The Whole Truth;Engelska;144;April 22nd 2008;35;2;406;'[''Fiction'', ''British Literature'', ''Literary Fiction'', ''Audiobook'', ''Novels'', ''Contemporary'', ''Scotland'', ''Boarding School'', ''Literature'', ''Adult'']'
9780446522595;The Winner;Engelska;114;January 1st 1997;35;2;528;'[''Romance'', ''New Adult'', ''Contemporary'', ''Contemporary Romance'', ''Music'', ''Adult'', ''Chick Lit'', ''Fiction'', ''Young Adult'', ''Musicians'']'
9780446531092;The Collectors;Engelska;102;October 18th 2006;35;2;438;'[''Fantasy'', ''Dragons'', ''Middle Grade'', ''Fiction'', ''Childrens'', ''Young Adult'', ''Adventure'', ''Audiobook'', ''Magic'', ''Animals'']'
9780446539753;First Family;Engelska;120;April 21st 2009;35;2;449;'[''Childrens'', ''Short Stories'', ''Classics'', ''Fiction'', ''Italian Literature'', ''Italy'', ''Fantasy'', ''20th Century'', ''Literature'', ''Audiobook'']'
9780446564083;Deliver Us from Evil;Engelska;110;April 20th 2010;35;2;406;'[''Christian Fiction'', ''Fiction'', ''Christian'', ''Religion'', ''Fantasy'', ''Thriller'', ''Christianity'', ''Faith'', ''Apocalyptic'', ''Spirituality'']'
9780446572996;The Innocent;Engelska;111;April 17th 2012;35;2;422;'[''Steampunk'', ''Fantasy'', ''Science Fiction'', ''Alternate History'', ''Fiction'', ''Mystery'', ''Time Travel'', ''Historical Fiction'', ''Historical'', ''Adventure'']'
9780446573054;The Forgotten;Engelska;89;November 20th 2012;35;2;422;'[''Young Adult'', ''Romance'', ''Realistic Fiction'', ''Teen'', ''Contemporary'', ''Fiction'', ''High School'', ''Young Adult Romance'', ''Young Adult Contemporary'', ''Coming Of Age'']'
9780446577397;Stone Cold;Engelska;156;November 6th 2007;35;2;388;'[''Romance'', ''Chick Lit'', ''Contemporary'', ''Erotica'', ''Contemporary Romance'', ''Erotic Romance'', ''Humor'']'
9780446580342;Simple Genius;Engelska;110;April 24th 2007;35;2;420;'[''Mystery'', ''Fiction'', ''Classics'', ''Audiobook'', ''Mystery Thriller'', ''Plays'', ''Cozy Mystery'', ''Suspense'', ''20th Century'', ''Crime'']'
9780446583145;One Summer;Engelska;183;June 14th 2011;35;2;337;'[''Comics'', ''Graphic Novels'', ''Science Fiction'', ''Graphic Novels Comics'', ''Comic Book'', ''Fiction'', ''Superheroes'', ''Horror'', ''Dystopia'', ''Religion'']'
9780446604840;Total Control;Engelska;159;December 1st 1997;35;1;720;'[''Historical Fiction'', ''Classics'', ''Fiction'', ''France'', ''French Literature'', ''French Revolution'', ''Literature'', ''Novels'', ''Nobel Prize'', ''20th Century'']'
9780446608893;Saving Faith;Engelska;129;September 1st 2000;35;1;528;'[''Fiction'', ''Ireland'', ''Mermaids'', ''Chick Lit'', ''Fantasy'', ''Contemporary'', ''Romance'', ''Magical Realism'', ''Literature'', ''Irish Literature'']'
9780446611770;Last Man Standing;Engelska;125;September 1st 2002;35;1;640;'[''Comics'', ''Graphic Novels'', ''Batman'', ''Dc Comics'', ''Comic Book'', ''Graphic Novels Comics'', ''Fiction'', ''Superheroes'', ''Comics Manga'', ''Crime'']'
9780446614450;Split Second;Engelska;147;September 1st 2004;35;1;512;'[''Nonfiction'', ''Philosophy'', ''Design'', ''Art'', ''Sociology'', ''Theory'', ''Technology'', ''Psychology'', ''Cultural'', ''Politics'']'
9780446616492;Hour Game;Engelska;111;September 1st 2005;35;1;611;'[''Nonfiction'', ''Biography'', ''Memoir'', ''Biography Memoir'', ''Autobiography'', ''History'', ''Book Club'', ''Politics'', ''Islam'', ''Adult'']'
9780446699488;Wish You Well;Engelska;140;April 3rd 2007;35;1;432;'[''Fiction'', ''Chick Lit'', ''Australia'', ''Family'', ''Drama'', ''Ireland'', ''Romance'', ''Contemporary'', ''Relationships'', ''Womens Fiction'']'
9780545298445;Day of Doom;Engelska;205;March 5th 2013;35;2;270;'[''Nonfiction'', ''History'', ''True Crime'', ''Crime'', ''Religion'']'
9780545652209;The Finisher;Engelska;111;March 4th 2014;35;2;497;'[''Young Adult'', ''Fiction'', ''Realistic Fiction'', ''Romance'', ''Contemporary'', ''Abuse'', ''Teen'', ''Drama'', ''High School'', ''New Adult'']'
9781455521197;The Escape;Engelska;145;November 18th 2014;35;2;470;'[''Fantasy'', ''Dragons'', ''Young Adult'', ''Time Travel'', ''Romance'', ''Young Adult Fantasy'', ''Paranormal'', ''Science Fiction'', ''Adventure'', ''Teen'']'
9781455521203;The Target;Engelska;140;April 22nd 2014;35;2;420;'[''History'', ''Nonfiction'', ''Germany'', ''Historical'', ''World War II'', ''Politics'', ''Military History'']'
9781455521210;The Hit;Engelska;115;April 23rd 2013;35;2;392;'[''Chick Lit'', ''Romance'', ''Fiction'', ''Contemporary Romance'', ''Humor'']'
9781455559824;Memory Man;Engelska;217;April 21st 2015;35;2;416;'[''Science Fiction'', ''Fantasy'', ''Fiction'', ''Science Fiction Fantasy'', ''Space Opera'', ''Space'', ''Adventure'', ''Adult'', ''Novels'', ''Romance'']'
9781455566020;The Last Mile;Engelska;221;April 26th 2016;35;2;644;'[''Historical Fiction'', ''Fantasy'', ''Young Adult'', ''Mystery'', ''Adventure'', ''Middle Grade'', ''Historical'', ''Fiction'', ''Audiobook'', ''Childrens'']'
9781538761571;Long Road to Mercy;Engelska;39;November 13th 2018;35;2;405;'[''Romance'', ''Fiction'', ''Historical Fiction'', ''Italy'', ''Chick Lit'', ''Contemporary'', ''British Literature'', ''Adult'', ''Roman'', ''Contemporary Romance'']'
9780385534253;Killers of the Flower Moon: The Osage Murders and the Birth of the FBI;Engelska;369;April 18th 2017;36;4;359;'[''Fiction'', ''Literature'', ''Terrorism'', ''Contemporary'', ''American'', ''Novels'', ''Thriller'', ''Literary Fiction'', ''Politics'', ''Religion'']'
9780805073874;'Shakespeare''s Secret';Engelska;110;May 1st 2005;37;2;256;'[''Spain'', ''Fiction'', ''Spanish Literature'', ''Magical Realism'', ''Drama'', ''Coming Of Age'', ''Contemporary'', ''21st Century'']'
9781494920692;Consumed;Engelska;510;May 15th 2014;38;1;320;'[''Childrens'']'
9789966727558;The Girl From America;Engelska;369;June 29th 2016;39;4;87;'[''Nonfiction'', ''Philosophy'', ''Biography'', ''History'', ''Medieval'', ''Classics'', ''France'', ''Religion'', ''Memoir'', ''Church History'']'
9780743252218;Sea of Thunder: Four Commanders and the Last Great Naval Campaign 1941-1945;Engelska;112;November 7th 2006;40;2;415;'[''Fiction'', ''Adult'', ''Young Adult'', ''Contemporary'', ''Adult Fiction'', ''Literary Fiction'', ''Literature'', ''Novels'', ''Modern'', ''Family'']'
9780307463920;'Endgame: Bobby Fischer''s Remarkable Rise and Fall - From America''s Brightest Prodigy to the Edge of Madness';Engelska;121;February 1st 2011;41;4;416;'[''Historical Fiction'', ''Mystery'', ''Fiction'', ''Historical'', ''Crime'', ''Historical Mystery'', ''Tudor Period'', ''British Literature'', ''Thriller'', ''Detective'']'
9780393076011;The Art of Immersion: How the Digital Generation Is Remaking Hollywood, Madison Avenue, and the Way We Tell Stories;Engelska;84;February 21st 2011;42;2;354;'[''Young Adult'', ''Mystery'', ''Horror'', ''Thriller'', ''Dystopia'', ''Mystery Thriller'', ''Fiction'', ''Science Fiction'', ''Suspense'', ''Teen'']'
9781584740643;The Story Of Charles Ogilvie;Engelska;1032;July 2010;43;4;217;'[''Islam'', ''Religion'', ''Christian'', ''Theology'', ''Christianity'', ''Nonfiction'', ''Cultural'']'
9788893217859;The Crystal of Yggdrasil;Engelska;473;December 12th 2015;44;4;146;'[''Manga'', ''Fantasy'', ''Mystery'', ''Comics'', ''Shonen'', ''Graphic Novels'', ''Adventure'', ''Supernatural'', ''Comics Manga'', ''Fiction'']'
9780330458146;White is for Witching;Engelska;1008;June 1st 2009;45;4;244;'[''Nonfiction'', ''Science'', ''Nature'', ''Plants'', ''Spirituality'', ''Gardening'', ''Biology'', ''Environment'', ''Philosophy'', ''Unfinished'']'
9781442441286;Dead City;Engelska;122;October 2nd 2012;46;4;288;'[''Picture Books'', ''Childrens'', ''Humor'', ''Animals'', ''Fiction'', ''Folk Tales'', ''Storytime'', ''Folklore'', ''Kids'', ''Fantasy'']'
9781937044961;The Marriage Bargain;Engelska;778;February 14th 2012;47;4;160;'[''Romantic Suspense'', ''Mystery'', ''Romance'', ''Suspense'', ''Fiction'', ''Mystery Thriller'', ''Crime'', ''Thriller'', ''Contemporary'', ''Adult'']'
9780743529068;The Art of Exceptional Living;Engelska;156;March 1st 2003;48;3;199;'[''Science Fiction'']'
9781442458741;Noggin;Engelska;123;April 8th 2014;49;4;340;'[''Poetry'', ''Nonfiction'', ''Memoir'']'
9780142428696;Theodore Boone: Kid Lawyer;Engelska;339;May 25th 2010;50;3;4;'[''Romance'', ''New Adult'', ''Contemporary'', ''Contemporary Romance'', ''Erotica'', ''Adult'', ''Humor'', ''Chick Lit'', ''Fiction'', ''Erotic Romance'']'
9780765328540;Fuzzy Nation;Engelska;168;May 10th 2011;51;3;6;'[''Nonfiction'', ''Politics'', ''Biography'', ''Memoir'', ''Autobiography'', ''Science'', ''Journalism'', ''Government'', ''Language'', ''Essays'']'
9781453200087;Damage;Engelska;632;August 10th 2010;52;4;186;'[''Parenting'', ''Nonfiction'', ''Humor'', ''Audiobook'', ''Self Help'', ''Childrens'', ''Memoir'', ''Adult'', ''Biography'']'
9780991348268;Deadly Alchemy;Engelska;748;January 20th 2015;53;4;378;'[''Romance'', ''Contemporary Romance'', ''Contemporary'', ''Fiction'', ''Chick Lit'', ''Adult'', ''Harlequin'', ''Family'', ''Anthologies'', ''Christmas'']'
9780307713544;The Invisible Bridge;Engelska;855;May 4th 2010;54;3;28;'[''Manga'', ''Comics'', ''Graphic Novels'', ''Science Fiction'', ''Cyberpunk'', ''Fiction'', ''Japan'', ''Comic Book'', ''Comics Manga'', ''Graphic Novels Comics'']'
9781456512316;A Dream Unfolding;Engelska;655;December 19th 2010;55;4;352;'[''Fantasy'', ''Young Adult'', ''Fiction'', ''Middle Grade'', ''Childrens'', ''Romance'', ''Contemporary'', ''Magic'', ''Fairy Tales'', ''Teen'']'
9781608208449;Strength of the Pack;Engelska;486;January 18th 2013;56;4;336;'[''Fantasy'', ''Young Adult'', ''Retellings'', ''Werewolves'', ''Fairy Tales'', ''Teen'', ''Urban Fantasy'', ''Science Fiction Fantasy'', ''Fairy Tale Retellings'', ''Paranormal'']'
9781608208753;The Final Line;Engelska;457;July 4th 2013;56;4;366;'[''Poetry'', ''Classics'']'
9780996750301;Told You So;Engelska;383;November 2015;57;4;416;'[''Historical Fiction'', ''Fiction'', ''Historical'', ''Prehistoric'', ''Fantasy'', ''Adventure'', ''Prehistory'', ''Adult'', ''Adult Fiction'', ''Survival'']'
9781568650548;'The Mote in God''s Eye';Engelska;199;April 26th 2011;58;4;596;'[''Young Adult'', ''Dystopia'', ''Science Fiction'', ''Fantasy'', ''Fiction'', ''Post Apocalyptic'', ''Romance'', ''Audiobook'', ''Apocalyptic'', ''Adventure'']'
9781442497832;The Boy on the Wooden Box;Engelska;2242;August 27th 2013;60;4;240;'[''Thriller'', ''Mystery'', ''Fiction'', ''Mystery Thriller'', ''Adult'', ''Crime'', ''Suspense'', ''Contemporary'', ''Adult Fiction'', ''Psychological Thriller'']'
9781517612535;Spin the Love;Engelska;393;September 30th 2015;61;4;192;'[''Christian'', ''Christianity'', ''Faith'', ''Nonfiction'', ''Spirituality'', ''Christian Living'', ''History'', ''Religion'', ''Reference'', ''Language'']'
9780316300339;The Boy on the Bridge;Engelska;375;May 2nd 2017;62;4;369;'[''Historical Fiction'', ''Fiction'', ''Historical'', ''Audiobook'', ''Book Club'', ''Adult Fiction'', ''Adult'', ''Native Americans'', ''Religion'', ''17th Century'']'
9788493599300;Apocalipsis Z;Spanska;336;July 2007;63;4;280;'[''Mystery'', ''Romantic Suspense'', ''Thriller'', ''Suspense'', ''Romance'', ''Fiction'', ''Crime'', ''Mystery Thriller'', ''Murder Mystery'', ''Adult'']'
9783959912044;Das Geheimnis der Feentochter;Tyska;320;May 15th 2014;64;4;248;'[''Historical Fiction'', ''Mystery'', ''Historical'', ''Childrens'', ''Fiction'', ''Middle Grade'', ''Adventure'', ''Juvenile'', ''19th Century'', ''Young Adult'']'
9780373774999;Her Vampire Husband;Engelska;100;April 1st 2010;65;4;357;'[''Young Adult'', ''Mystery'', ''Romance'', ''Fiction'', ''Contemporary'', ''Chick Lit'', ''Boarding School'', ''Teen'', ''High School'', ''Realistic Fiction'']'
9780989492584;Deep Blue Eternity;Engelska;566;March 26th 2015;66;4;356;'[''France'', ''Fiction'', ''Childrens'', ''Humor'', ''Short Stories'', ''Classics'', ''French Literature'', ''Literature'', ''Novels'', ''School'']'
9781450251433;Frostproof;Engelska;358;February 16th 2011;67;4;204;'[''Picture Books'', ''Japan'', ''Nonfiction'', ''Dogs'', ''Animals'', ''Childrens'', ''Asia'', ''History'', ''Biography'', ''Asian Literature'']'
9780525954217;'Paddle Your Own Canoe: One Man''s Fundamentals for Delicious Living';Engelska;166;October 1st 2013;68;3;11;'[''Young Adult'', ''Romance'', ''Contemporary'', ''Chick Lit'', ''Realistic Fiction'', ''Young Adult Contemporary'', ''Fiction'', ''High School'', ''Teen'', ''Young Adult Romance'']'
9781567400298;Courting Catherine;Engelska;964;May 1st 1998;69;3;396;'[''Fiction'', ''Israel'', ''Contemporary'', ''Literature'', ''Novels'', ''Literary Fiction'', ''Jewish'', ''Adult Fiction'', ''Marriage'']'
9781423368885;Savor the Moment;Engelska;274;April 27th 2010;69;3;325;'[''Fantasy'', ''Horses'', ''Middle Grade'']'
9786035002462;Strategies of Prophet Muhammad;Engelska;1318;July 15th 2013;70;4;556;'[''Childrens'', ''Picture Books'', ''Fantasy'', ''Fiction'', ''Short Stories'', ''Fairy Tales'']'
9780812550702;'Ender''s Game';Engelska;161;09/30/04;71;3;324;'[''Fiction'', ''Classics'', ''Literary Fiction'', ''American'', ''20th Century'', ''American Fiction'', ''Literature'', ''Female Authors'', ''Adult Fiction'']'
9781682309803;Dear Bridget, I Want You;Engelska;1147;September 18th 2017;72;4;350;'[''Manga'', ''Fantasy'', ''Graphic Novels'', ''Comics'', ''Video Games'', ''Adventure'', ''Fiction'', ''Young Adult'', ''Action'', ''Comics Manga'']'
9780980121711;From Petal To Sepal;Engelska;701;June 10th 2010;73;4;119;'[''Plays'', ''Drama'', ''Theatre'', ''Fiction'', ''Classics'', ''20th Century'', ''British Literature'', ''Literature'', ''School'', ''Nobel Prize'']'
9788188575695;'Those Small Lil'' Things In Life And Love';Engelska;125;November 5th 2008;74;4;244;'[''Humor'', ''Fiction'', ''Comedy'', ''Drama'', ''Tv'', ''Film'', ''Classics'', ''Reference'']'
9780971191532;First Class Male;Engelska;228;October 29th 2009;75;4;365;'[''Philosophy'', ''Nonfiction'', ''Art'', ''History'', ''Graphic Novels'', ''Comics'', ''Sociology'', ''Reference'', ''Theory'', ''Literary Criticism'']'
9781693557750;The Monsters of Music;Engelska;887;October 30th 2019;76;4;237;'[''History'', ''Pirates'', ''Nonfiction'', ''Biography'', ''American History'', ''Adventure'', ''18th Century'']'
9781423121664;The Demigod Files;Engelska;40;February 10th 2009;77;4;151;'[''Nonfiction'', ''Christian'', ''Biography'', ''Memoir'', ''Religion'', ''Inspirational'', ''True Crime'', ''Biography Memoir'', ''True Story'', ''Christianity'']'
9780765376862;The Complete Wheel of Time;Engelska;4237;May 2014;78;4;11095;'[''Fiction'', ''Contemporary'', ''British Literature'', ''Literature'', ''Novels'', ''20th Century'', ''Unfinished'']'
9783000513510;Storm and Silence;Engelska;290;March 19th 2016;79;4;765;'[''Romance'', ''Paranormal Romance'', ''Paranormal'', ''Mystery'', ''Romantic Suspense'', ''Suspense'', ''Contemporary Romance'', ''Fantasy'', ''Contemporary'', ''Fiction'']'
9781549143076;In Pieces;Engelska;783;September 18th 2018;80;3;11;'[''Christian Fiction'', ''Young Adult'', ''Christian'', ''Contemporary'', ''Fiction'', ''Christian Romance'', ''Romance'', ''Teen'', ''Spirituality'', ''Childrens'']'
